city,grnd_level,humidity,pressure,sea_level,temp,temp_max,temp_min,deg,gust,speed,lat,lng
okha,1008.93,78,1010.04,1010.04,8.75,8.75,8.75,210.47,,5.56,54.32736104324516,144.04595109316307
aksu,,66,1020.0,,12.0,12.0,12.0,40.0,,3.0,40.30271135931167,81.22862662659827
aketi,948.45,60,1004.39,1004.39,28.05,28.05,28.05,43.958,,1.13,2.618028375441199,23.821479220180635
bongandanga,961.87,92,1005.76,1005.76,25.15,25.15,25.15,260.34,,0.52,0.7899032719672618,20.384189673885203
antofagasta,,59,1016.0,,17.0,17.0,17.0,320.0,,2.1,-23.688064376338133,-74.20457136884934
novosokolniki,991.1,79,1012.52,1012.52,1.15,1.15,1.15,311.884,,1.37,56.45823410493011,29.95381151973831
mahebourg,,73,1021.0,,23.94,24.0,23.89,110.0,11.8,5.7,-41.220829316394436,81.31592382112939
aklavik,,92,1013.0,,-2.0,-2.0,-2.0,310.0,12.9,6.7,79.83554580571735,-142.82061199064108
ambon,,100,1018.0,,15.4,16.67,14.0,200.0,,4.6,-4.343791640014871,128.4528711160254
machilipatnam,,83,1010.0,,27.0,27.0,27.0,164.883,,1.85,16.129097733860092,81.07361518156074
baherden,905.04,23,1012.71,1012.71,19.25,19.25,19.25,287.371,,1.38,39.93735583397296,57.318161665601906
kilembe,890.72,58,1007.62,1007.62,25.55,25.55,25.55,74.994,,2.36,-0.04815354992099685,30.203352842706124
mandalgovi,864.67,62,1028.33,1028.33,3.35,3.35,3.35,219.588,,1.28,44.374799139633666,104.54587273004006
stephenville,,93,1020.0,,10.69,11.0,10.56,210.0,,8.2,32.48915934189874,-98.2666181664918
waipawa,,86,1019.0,,11.11,11.11,11.11,202.0,4.47,1.79,-45.62294075786275,179.37035740355935
brainerd,,81,1021.0,,7.92,10.0,6.0,270.0,,1.5,46.15690634153347,-93.77547029340381
hauterive,,93,1014.0,,13.63,15.0,11.0,230.0,,3.1,50.24812579691567,-68.73622087656082
bonthe,1008.73,77,1009.35,1009.35,27.45,27.45,27.45,211.304,,3.5,1.8863439586114197,-17.546498129772232
